Id,species,age,sex,concioussness
,Pan paniscus,7,male,0
,Pan troglodytes,8,male,0
,Pan paniscus,10,female,0
,Pan paniscus,10,female,0
,Pan troglodytes,12,male,0
,Pan paniscus,13,male,0
,Pan paniscus,14,male,0
,Pan troglodytes,15,male,0
,Pan troglodytes,16,male,0
,Pan paniscus,25,male,0
Murphy,Pan paniscus,27,male,0
,Pan paniscus,27,female,0
Leslie,Pan troglodytes,28,female,0
,Pan troglodytes,32,female,0
Barash,Pan troglodytes,36,male,0
Megan,Pan troglodytes,39,female,0
Brian,Pan paniscus,43,male,0
James,Pan troglodytes,48,male,1
X,Pan troglodytes,54,female,1
X,Pan troglodytes,54,female,1
X,Pan troglodytes,54,male,1
X,Pan troglodytes,54,female,0
X,Pan troglodytes,54,female,0
X,Pan troglodytes,54,male,0
X,Pan troglodytes,72,female,0
Misaki,Pan troglodytes,84,female,0
Jill,Pan paniscus,85,female,1
William,Pan troglodytes,98,male,0
Zalia,Pan paniscus,100,female,1
Cindy,Pan troglodytes,101,female,1
X,Pan troglodytes,108,male,1
X,Pan troglodytes,108,female,1
Mizuki,Pan troglodytes,108,female,1
Jill,Pan paniscus,108,female,1
Mabruki,Pan paniscus,114,male,0
Kelele,Pan paniscus,114,male,1
Chakema,Pan troglodytes,115,female,1
Loi,Pan troglodytes,120,male,1
Zamba,Pan troglodytes,120,male,0
Tsubaki,Pan troglodytes,120,female,1
Zalia,Pan paniscus,120,female,1
Angela,Pan troglodytes,121,female,1
Abby,Pan troglodytes,125,female,0
Keetah,Pan troglodytes,126,female,1
Lingala,Pan paniscus,126,female,1
Misty,Pan troglodytes,130,female,1
Christy,Pan troglodytes,133,female,1
Christine,Pan troglodytes,133,female,0
Gilda,Pan troglodytes,143,female,1
Khaya,Pan paniscus,147,female,1
David,Pan paniscus,150,male,1
Lisa,Pan troglodytes,154,female,1
Lux,Pan troglodytes,156,male,1
Joseph,Pan troglodytes,168,male,1
Schulman,Pan troglodytes,184,female,1
Liz,Pan troglodytes,191,female,0
Tai,Pan troglodytes,192,female,1
Columbus,Pan troglodytes,204,male,1
Diwani,Pan paniscus,209,male,1
Ossobaw,Pan troglodytes,216,male,1
Hoboh,Pan troglodytes,240,male,1
Ulindi,Pan paniscus,243,female,1
Homer,Pan troglodytes,252,male,1
Kirembo,Pan paniscus,253,male,1
Bosondjo,Pan paniscus,259,male,1
Bosondjo,Pan paniscus,276,male,1
Lorel,Pan paniscus,279,female,0
Leslie,Pan troglodytes,288,female,1
Laura,Pan paniscus,300,female,1
X,Pan troglodytes,330,male,0
X,Pan troglodytes,330,male,1
X,Pan troglodytes,330,female,1
X,Pan troglodytes,330,female,0
Lisala,Pan paniscus,405,female,1
Su,Pan troglodytes,432,female,1
Linda,Pan paniscus,463,female,0
